Timestamp,Your Faculty :,Write your ID: ,What is your department? ,What is your level? ,gender,What is your CGPA? ,How well do you understand the theoretical part of a course? ,The provided material (Only by doctors or teaching assistants) is straight to the point and clear. ,The provided material (Only by doctors or teaching assistants) Include enough examples and practice materials ,The provided material (Only by doctors or teaching assistants) is overall sufficient and reliable for studying. ,Do you have an idea to improve the quality of the provided material? ,Course content is suitable for the semester timeframe. ,"If you disagree with the previous question, what do you think about the content? ",The assignments/projects are directly related to the course content and are not out of scope. ,The assignments/projects successfully measure your acquired knowledge not your copying abilities. ,The project discussions provide helpful notes and evaluation. ,Attending lectures substantially improves your level of understanding of the course content. ,Attending Labs/Classes substantially improves your level of understanding of the course content. ,What would you suggest to enhance your learning experience inside campus? ,How cooperative are the doctors? ,How cooperative are the teaching assistants? ,The doctors and teaching assistants usually use interactive teaching techniques. ,Do you think interactive techniques can improve your performance? ,"According to your major, the faculty provides the best set of courses to qualify you for your desired professional role. ","If you disagree with the previous question, How much do you think this set of courses qualifies you for the role. ","List the courses you think are crucial for your major and not provided by the faculty, if there’s any ","Faculty courses provide you with soft skills like teamwork, communication, etc. ","If you agree to the previous question, list some of these skills. ",Do you think your learning environment can affect your performance? ,The lecture rooms/Labs are clean and organized. ,The lecture rooms/Labs are big enough for the number of students. ,The lecture rooms/Labs have suitable and clear board/screens to present the materials. ,The halls are equipped for gaps and breaks. ,What would you suggest to improve your experience inside campus? ,Rate your overall satisfaction with our faculty courses. ,Semester time is a good period for the courses. ,Interactive learning techniques are effective techniques. ,Teamwork is one of the soft skills can be provided by courses. 
4/25/2023 20:32:21,,0,Data Science,2,Female,3.3 : 4,well enough to pass.,Maybe,Agree,Maybe,It should be more simple and comprehensive ,Maybe,It is too long for the semester.,Disagree,Maybe,Maybe,Yes,Yes,By working on many projects ,Always cooperative.,"Very cooperative in campus, not so cooperative online.",Some of them,Yes,Yes,90-100% (agree with the previous question).,Null,Yes,,Yes,No,No,Yes,No,Taking part in communities and competitions ,60-90%,Maybe,Agree,Agree
4/25/2023 20:35:01,,20201378673,Data Science,3,Female,3.3 : 4,Very well.,Maybe,Maybe,Disagree,To have the material up to date where we can learn things that are new and useful and not old enough that it's no longer used also to include enough examples ,Agree.,I agree with the previous question.,Agree,Maybe,Maybe,Yes,Yes,To make sure that the internet connection is stable enough to help us work during the tutorials ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,30-60%,It's not about the courses itself it's about the content where we can learn new skills and apply these skills as soon as we learn them ,Yes,,Yes,No,No,Yes,No,To make sure that the doctors and the teaching assistants are qualified enough to explain to the students ,30-60%,Maybe,Agree,Maybe
4/25/2023 20:59:31,,2022,Data Science,2,Female,3.3 : 4,well enough to pass.,Agree,Maybe,Maybe,Need to cover more topics or clearer information about its topic ,Agree.,I agree with the previous question.,Agree,Disagree,Maybe,Yes,Yes,Classes need to cover more deep practical information ,"Very cooperative in campus, not so cooperative online.","Very cooperative in campus, not so cooperative online.",Agree,No,Yes,90-100% (agree with the previous question).,-,Yes,Teamwork,Yes,No,No,Yes,No,The rooms need to be cleaned regularly ,60-90%,Maybe,Disagree,Agree
4/25/2023 21:06:39,,496337343,Data Science,3,Male,3.3 : 4,Very well.,Agree,Agree,Disagree,No,Maybe,I agree with the previous question.,Agree,Maybe,Maybe,No,Yes,The faculty needs to make webinars or conferences with experts in the field of data science ,"Very cooperative in campus, not so cooperative online.",Never cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,"Visualization tools 
Advanced Excel ",No,,Yes,No,No,Yes,No,Preparing  the main building of the faculty as fast as possible ,90-100%,Maybe,Agree,Maybe
4/25/2023 21:57:10,,20201379453,Data Science,3,Female,3.3 : 4,Very well.,Maybe,Maybe,Maybe,To be more detailed than it is to depend on it,Maybe,I agree with the previous question.,Disagree,Maybe,Disagree,Yes,No,I don't know but we need to do what we learn in professional projects not in simple tasks,Always cooperative.,Always cooperative.,Some of them,Yes,No,30-60%,"Software from level 1 , also Hardware.. data quality course .. organizing some of course we had",Yes,"Teamwork
Communication
Leadership ",Yes,Yes,No,Yes,No,Have more sets and please open the Library all of the day,60-90%,Maybe,Agree,Agree
4/25/2023 22:41:34,,20221031698,Data Science,2,Female,3.3 : 4,well enough to pass.,Agree,Maybe,Disagree,take students opinion for appropriate way for them,Disagree.,It is too long for the semester.,Agree,Maybe,Agree,Yes,Yes,take reset for 10 min,Always cooperative.,Always cooperative.,Some of them,Yes,Yes,90-100% (agree with the previous question).,nothing,Yes,"work under pressure , always search , ask and learn",Yes,No,No,No,No,cleaning the labs ,60-90%,Maybe,Agree,Agree
4/25/2023 22:57:54,,20201382331,Data Science,3,Female,2 : 2.9,Very well.,Maybe,Maybe,Maybe,Provide more questions and their answers,Maybe,It is too long for the semester.,Maybe,Disagree,Disagree,Yes,Yes,More help from the teaching assistants,Never cooperative.,"Very cooperative in campus, not so cooperative online.",Some of them,Yes,No,0-30%,Design patterns,No,I don't agree,Yes,No,No,No,No,Treat negatives,30-60%,Maybe,Disagree,Maybe
4/25/2023 23:26:42,,20201444610,Data Science,3,Male,3.3 : 4,Very well.,Maybe,Maybe,Disagree,Provide more examples and More resources ,Maybe,It is too long for the semester.,Maybe,Maybe,Disagree,No,Yes,Provide more practical evaluation ,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,No,30-60%,"Neural networks, advanced machine learning ",No,,Yes,No,No,No,No,Provide more students activity and Care more about the equipment for the labs and for the gabs and breaks ,30-60%,Maybe,Agree,Agree
4/26/2023 0:11:51,,20201474201,Data Science,3,Male,3.3 : 4,Very well.,Maybe,Maybe,Disagree,"We should have material first, then we can improve them",Agree.,I agree with the previous question.,Agree,Maybe,Disagree,Yes,No,Get actual professors in the field.,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Agree,Yes,No,60-90%,"pattern recognition, networks, deep learning and networks.",No,,Yes,No,No,Yes,Yes,"a new building, new professors",30-60%,Agree,Disagree,Disagree
4/26/2023 0:28:18,,2020,Data Science,3,Male,2 : 2.9,well enough to pass.,Maybe,Disagree,Maybe,I think that the material must be updated every year,Maybe,It is too long for the semester.,Maybe,Maybe,Agree,Yes,Yes,By discussing with other students,"Very cooperative in campus, not so cooperative online.",Always cooperative.,Some of them,Yes,No,0-30%,"Data Science track
Data Analysis track
Machine learning courses",No,,Yes,No,No,No,No,We should go to our building ,30-60%,Maybe,Maybe,Agree
